ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
11212,180,GRAFTON,ST,61,BROOKLYN,MULTIPLE,DWELLING,B,3551,34,180 GRAFTON ST
11212,208,GRAFTON,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3551,47,208 GRAFTON ST
11212,214,TO 218 GRAFTON,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3551,49,214 TO 218 GRAFTON ST
11212,255,GRAFTON,ST,A,GARDEN,COMPLEX,421-A,(16),3567,16,255 GRAFTON ST
11212,7,HEGEMAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3621,1,7 HEGEMAN AVE
11212,31,TO 47 HEGEMAN,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3622,56,31 TO 47 HEGEMAN AVE
11212,71,TO 77 HEGEMAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3623,1,71 TO 77 HEGEMAN AVE
11212,210,TO 212 HEGEMAN,AVE,B,GARDEN,COMPLEX,ARTICLE,11,3639,35,210 TO 212 HEGEMAN AVE
11212,195,HERZL,ST,MULTIPLE,DWELLING,A,421-A,(16),3539,5,195 HERZL ST
11212,441,HERZL,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3598,7,441 HERZL ST
11212,450,HERZL,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3609,31,450 HERZL ST
11212,463,HERZL,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3610,23,463 HERZL ST
11212,490,HERZL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3609,47,490 HERZL ST
11212,500,HERZL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3609,1,500 HERZL ST
11212,530,HERZL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3620,38,530 HERZL ST
11212,537,HERZL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3621,15,537 HERZL ST
11212,445,HOPKINSON,AVE,61,BROOKLYN,MULTIPLE,DWELLING,B,3497,65,445 HOPKINSON AVE
11212,600,HOPKINSON,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3540,34,600 HOPKINSON AVE
11212,769,HOPKINSON,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3587,24,769 HOPKINSON AVE
11212,775,HOPKINSON,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3587,22,775 HOPKINSON AVE
11212,859,HOPKINSON,AVE,MULTIPLE,DWELLING,A,421-A,(1-15),3600,11,859 HOPKINSON AVE
11212,865,HOPKINSON,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3600,9,865 HOPKINSON AVE
11212,893,HOPKINSON,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3612,21,893 HOPKINSON AVE
11212,906,TO 908 HOPKINSON,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3611,147,906 TO 908 HOPKINSON AVE
11212,939,HOPKINSON,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3623,30,939 HOPKINSON AVE
11212,623,HOWARD,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3512,19,623 HOWARD AVE
11212,624,HOWARD,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3511,58,624 HOWARD AVE
11212,630,HOWARD,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3511,60,630 HOWARD AVE
11212,788,HOWARD,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3565,35,788 HOWARD AVE
11212,802,HOWARD,AVE,MULTIPLE,DWELLING,A,421-A,(16),3565,42,802 HOWARD AVE
11212,806,HOWARD,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3565,43,806 HOWARD AVE
11212,808,HOWARD,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3565,44,808 HOWARD AVE
